name,date,rating,text
tfmd,23-Mar-24,5,"Looks, like and tastes like Diet Pepsi. That's what I expected so what more can I say?"
Yifan Tian,31-Jan-24,5,"I've been using the SodaStream Zero Sugar Water Enhancer for a few weeks now, and it has completely transformed my water drinking experience. As someone who struggles to stay hydrated because I find plain water uninteresting, this enhancer has been a game-changer. The flavors are vibrant and delicious without being overpowering, and the fact that it's zero sugar is a huge plus for me. It's super easy to use with my SodaStream machine, adding just the right amount of fizz and flavor to make drinking water more enjoyable. I also love that a little goes a long way, making it cost-effective. It's a healthier alternative to sugary sodas and juices, and I feel good about incorporating it into my daily routine. Definitely a must-try for those looking to jazz up their water intake!"
Matt Peterson,28-Feb-24,5,"SodaStream® Starry® Zero Sugar Beverage Mix has earned its place as my go-to choice for a light and refreshing sparkling drink. Its excellent taste, versatility, and health-conscious attributes make it a standout option for those seeking a guilt-free soda experience. I highly recommend this beverage mix for SodaStream enthusiasts and anyone looking to elevate their sparkling drink game without compromising on flavor or health."
Joseph Negaard,26-Mar-24,5,Tastes almost like real fountain soda. It goes a long way and definitely saves money.
Brittney Foster,6-Mar-24,5,"So we love making our Orange sodas and they actually come out tasting much better. We still find our self for convenience, sake buying cans and either bottles. However, this is nice for when we run out and still want a soda. and these really do taste like the real thing"
Anthony M,19-Feb-24,4,Maybe maybe not. I do like a good soda once in awhile. Definitely more of a Pepsi zero aftertaste but otherwise it fires the synapses.
Jo,3-Apr-24,5,It tastes great.
Pamela Beischer,20-Mar-24,5,We bought our son a soda stream for his birthday and we’re so excited to find they make a Pepsi one!
TheMaster,15-Feb-24,4,The taste is slightly off no matter what I do in terms of mixing it. Not horrible but not the same as getting it out of a bottle.
Joel,29-Feb-24,4,"Almost as good, but a little off. Afficionados won't like it."
Dwight H.,15-Mar-24,5,I love the convenience of adding STARRY to my soda stream while still getting the same great flavor. It's a fantastic value for me.
Stephen Nelson,16-Mar-24,5,I thought this was a great deal. 4 bottles for a set price. We are giving the SodaStream another try.Thanks.
Taste just like restaurant Pepsi. Right out of the fountain.,1-Apr-24,5,Delicious
Sharon L.,22-Mar-24,5,Perfect alternative that saves money. Waiting for Mt Dew Zero!
T. C. Parker,29-Mar-24,5,Soda stream
Amazon Customer,21-Mar-24,5,Real pepsi taste no compromise in taste
alen blesic,17-Mar-24,5,My kids love it and I can control how sweet I make it
Camarillo,28-Feb-24,5,I love this product! It tastes great and I don't have to lug around heavy soda's from the store. It is so easy to use and saves us money and time. I would recommend this product.
John Nazz Jr.,3-Mar-24,5,"Taste great. You just have to get the correct measure. I’m really like the taste, it tastes just like the bottle or can for me."
Kelli,19-Nov-23,4,"I've adjusted the syrup to the exact taste that I like, but I cannot get the right carbonation. The directions recommend 5 pumps. I'm up to 15 pumps on a new canister! And then it goes flat 1/2 way to the end of the liter. I recently bought 1/2 liters to see if it would retain the carbonation, and it helps. Not sure how to make the carbonation last longer. I bought this to save on sodas and to save on disposing plastic. Jury is still out, but as of now, I will keep it a 4-star rating.I'm also looking for cheaper alternatives to non-caffeinated syrups for evening drinks."
Jim Bailey,13-Mar-24,5,"Very Good Flavor, bought a 4 Pack so it would last me."
The Valuable Opinion,13-Dec-23,5,"I absolutely love using the SodaStream® Pepsi® Beverage Mix (440ml, Pack of 4)! Initially, I was skeptical, but this product has exceeded my expectations. It offers a Pepsi flavor that, in my opinion, surpasses those from restaurants or pre-bottled options. The best part is the customization aspect – you can blend it with other flavors or adjust the intensity to create your own personalized Pepsi experience.Following the instructions for measuring out the syrup is key, as I learned from my first enthusiastic attempt. The dopamine rush from going a bit overboard the first time has only piqued my interest even more. The ability to experiment with flavors and intensity levels has made my SodaStream experience not only enjoyable but also a creative endeavor.In conclusion, if you're a fan of Pepsi and enjoy a customizable soda experience, the SodaStream® Pepsi® Beverage Mix is a fantastic choice. I wholeheartedly recommend it for its superior taste, versatility, and the sheer fun of creating your own soda concoctions."
Suzanne S,21-Dec-23,4,"I find 28oz of water heavy fizz with mix up to the first lines works best. Middle line like the instructions say is too sweet, it’s too much.I ordered again when there was a sale and received a spoiled batch which wasn’t even close to the expiration date on the bottles. Called soda stream and they sent me a replacement fast."
Julia Wermuth,17-Jan-24,4,It's ok but it taste like half diet pepsi. My kids and husband don't seem to mind tho. Not sure why they put sucroslose in it! 
Raginrican,1-Feb-24,4,"The Diet Pepsi is fantastic! The Lemon lime flavor is absolutely disgusting, just a terrible after taste."
Benjamin Vincent,8-Mar-24,5,You have a soda stream and miss your Pepsi then order this now!
BH,9-Jan-24,5,"I drink a lot of soda, it's my guilty pleasure. But with the cost of groceries and recycling all those 2 liter bottles I thought this might be a good option. Never cared much for the sodastream ""cola"" flavor so gave this a shot. Here's what I did. I had 2 liters already of pepsi zero, poured over ice then made some of this in my sodastream and poured that over ice. I really wanted to do a blind test so literally closed my eyes and just tasted them both, couldn't tell the difference. Mind you, some of you may have different preferences but I'm happy to have less waste, save $ and still get my soda fix! Now we just need a coke zero sodastream flavor to come out! hahaha"
Matthew C. Bayer,29-Feb-24,5,"Tastes like real fountain Pepsi, with the ability to make it a little more or less sweet."
Michael H.,19-Jan-24,4,Not badMixed with carbonated water.Added cinnamon sugarSaved the plastic bottles for camping
Colby Conyers,20-Dec-23,4,Tastes pretty dang close to real Pepsi and with fewer calories. Of course you have to have a soda stream or some form of carbonated water and something is just a tad off about the taste. Although we prefer it way more to bottled.
Sean,24-Feb-24,5,"There's a slight aftertaste that's different from the real thing, but making it at home, kids don't notice it and think it's homemade Pepsi and Starry."
a.k,22-Nov-23,4,"The product came quickly and at a good price. The Pepsi tasted good but the starry was off-putting. I'm not 100% sure why there is aspartame in them when they are not diet but majority of soda stream products seem to have this. Could be why the starry wasn't so good. Overall I personally would buy the Pepsi again but not the starry, however for someone who has not tried either flavor this is a great package to try out."
Chris,15-Dec-23,4,It lacks the acidity and it’s WAAAAAAAYYY sweeter and more strongly flavored than the canned/bottled stuff.I’ve found that a bit less than halfway between the lines for half a liter and less sweet liter is the sweet spot.
chipper flynnn,8-Jan-24,4,A little to much or to little makes a big difference. When you get it right it's pepsi
Alex Soper,11-Mar-24,3,"First off - I am a BIG fan of my SodaStream! I have been using it for a little over a year. I have never purchased soda flavored addictive before, so these were new to me. As someone who drinks 2 Pepsis a day, I figured I would give this a try. There is definitely a flavor difference between using the concentrate and canned/bottled Pepsi. The difference is enough to know, but it's not that it tastes bad. I won't purchase again, but glad I don't have to wonder any longer."
Runion,2-Jul-23,5,"SodaStream Pepsi Beverage Mix (440ml, Pack of 6)Its about time I like Pepsi. I will drink Coke in a pinch but I prefer Pepsi.With things starting to cost more than the national debt, we are looking for ways tocut the costs.Pepsi bought Soda Stream some time back but had only sold the Soda Stream Pepsi to othercountries with the promise to sell in the US. Our TIME HAS COME ! ! ! ! ! !I will start with Soda Stream Pepsi tastes a lot like the Pepsi we buy in cans, but not exactly.I think its the sweetner that leaves that taste difference. But nothing you cannot get used to.SO, the pepsi comes in pretty much stock Soda Stream containers, only Pepsi has packaged themin clear plastic rather than the normal white containers.Same measuring caps.If you do not use the Soda Stream system, you can mix a measured cap of syrup to seltzer water. I think the measure is one portion of syrup to 6 portions of seltzer water. I keep changing the portions, trying to get the same taste I get from the cans, almost got it but no prize yet.Quality seems the same as other Soda Stream system syrups.Very happy that Pepsi has finally come out with the syrup version for Soda Stream.RECOMMENDED, absolutelyI do not know the seller nor did I get any money or product for my random review230702 1238"
John R Andres,20-Dec-23,4,The flavor is not bad to me it tastes like pespi zero It would be a matter of taste everybody has different tastes
Elizabeth,2-Mar-24,5,Exactly as described. Very happy
Joshua,13-Sep-23,3,"I ordered these because it was the most cost effective option closest to what I normally get (the Dr. Pete flavor being my favorite) since it had a really good price for a four pack of these. Dr. Pepper is ok and I do kind of like it in general, but these seem a bit off. There is a sort of sharpness to the smell and the taste is just a tiny bit off. It's still drinkable and it's not making me sick or anything, but it definitely does not taste at all like a real Pepsi. And I don't mean that I have too much or not enough as it tastes off, not weak or strong. A slight hint of a sourness or something. Still kind of ok if cold enough -- not actually bad -- but only just barely ok-ish, not actually good.It is possible that these were just stored badly or something. Too much heat perhaps? That certainly has been an issue this year. Unfortunately, this is a four pack, so even if I was inclined to keep buying more to try I wouldn't be doing so for a while (hopefully I can get more Dr. Pete by then though instead.) Still, I consider this to be an accurate thing to bear in mind even if so because that means it's going to be like this in many batches."
RNCrawford,11-Jul-23,4,"I gave up colas a while back and just used my Sodastream for sparkling water with lemon or lime crystals. Then I ran across the Pepsi and Coke Zeros and that old itch had to be scratched all over again. If you like the flavor of either, this is right on the nose provided you dial in how much syrup you make use of. A little experimentation will land you in that ""sweet spot"" as it were.As to price though, that depends on who the seller is. A little while ago the supply on Amazon got tight, and some sellers jumped on the opportunity to pump their margins. I didn't mind that much, I just voted with my wallet and waited for the supply chain to refresh, so word to the wise, look at your seller options and don't just bang that ""BUY"" button without a look."
glen proud,25-Feb-24,5,I like the flavor. I was a good price.
PPruitt,29-Jan-24,5,"My husband can't tell the difference. In my area a 2lt bottle of Pepsi Zero is $2. Buying these on Subscribe and save it will work out to .47 cents per liter. You do have to factor in the cost of CO2, but we have bulk tanks, so that is cheaper also."
Len,29-Feb-24,5,Tastes the same as buying anywhere else.
djmsn,23-Feb-24,5,Bought it for my son and he says it tastes like regular Pepsi to him.
Sigman,28-Feb-24,5,I’ve tried other cola concentrates. This is the best.
Charles E. Bohall III,11-Jan-24,5,"I recently purchased a new Sodastream for the family christmas gift, and picked up the Pepsi mix for my kids and their friends. I regularly host game nights every other weekend, and was spending a lot on beverages for the party. So, I was looking for a way to reduce cost while still providing the drinks they like. All the kids love the tast of this Pepsi mix. Thus, I will be purchasing this for my gaming parties going forward. 10/10, would recommend"
Laura lee J,26-Feb-24,5,Tastes exactly like Pepsi zero.
Ann W. Christie,24-Feb-24,5,Kids love this and easy for them to use
66Merl,4-Jan-24,4,As advertised
luan ruesink,20-Feb-24,5,Fantastic product! Taste is just like the bottled or canned kind
antwonStark,11-Sep-23,4,"Although these have a pretty decent taste, especially for what we’re looking for it is not exactly what I was hoping for. Once I saw this, I was super excited because I know a lot of the Coca-Cola brands got removed long ago. So I was very excited to see a name brand therapy.I will say this does taste like the Pepsi we love, but it doesn’t exactly taste like it. It still has that typical soda stream type flavor.Although it’s not exactly what I wanted, it is still better than most of the other flavors you can buy for the soda stream"
K. Taylor,19-Oct-23,5,"We have had a SodaStream for over 3 years now and have always enjoyed it. When Covid-19 hit and started causing all the supply chain issues and shortages, we pretty much stopped using it, plus at that time the diet cola flavor wasn't that great. Roll forward to better times now and they actually have Diet Pepsi flavor.I really enjoy it. While I don't think it's as great as Diet Pepsi from a can, it's a great alternative and practical to boot since we've got the machine and CO2 again. I play around with the syrup level as I haven't quite nailed the best ratio yet, but again, it's not bad.I did make this purchase solely because it was a Prime Event special pricing and will shop the price for my next purchases, but overall, I like it and will continue to buy it."
Brad Kempeny,18-Jan-24,5,"When mixed as directed this tastes just like Diet Pepsi as it should, I assume the syrup is the same. One caveat has more to do with Sodastream in general- the measuring line. Why do they put three different lines on the top cap? It says to use the middle line explicitly but for some reason that line is the faintest to see."
pacaBill,9-Feb-24,3,"The value for the four-pack is pretty good. The Starry flavor is close to the commercial product. Unfortunately, the Pepsi Zero flavor is a bit off from the commercial product. It's not bad if you want to make your own Pepsi, so it's close, but not exact. Easy to use, although the fill mark in the bottle cap could be better for the proper amount to use."
Marilyn,14-Jan-24,5,I was trying to buy coke syrup but I couldn’t get it anywhere. I bought the Pepsi and use it for my recipe and it came out delicious. We had visited a restaurant and had ribs that were so good and I asked the chef if I could have the recipe and gave it to me. It included Coke syrup.
Patrick,2-Mar-24,3,"If this was just sold as a cola, I would rate it higher, but this stuff is sweetened with both sugar and a substitute. It just doesn’t taste like Pepsi, and I can’t believe they are letting Sodastream use their name for this product."
Timothy Pickerill,2-Oct-23,3,"I got the pack with the regulars Pepsi and Starry. Haven't tried the Starry and I haven't had store bought so I can't compare. I bought for the Pepsi and was excited.The Pepsi smells and tastes like Pepsi at first pass, but like all the Soda Stream syrups it give way to the artificial sweetener after taste. This doesn't bother some people, and they don't even notice it. Unfortunately for me, I can taste an artificial sweetener a mile away and they all leave a chemically bitter aftertaste. Which is why my Sodastream was relegated to just making club soda until I saw they had Pepsi. All the syrups are gross to me, like I just chewed a flavored Alka-Seltzer.The Pepsi is no different. The regular Pepsi still has Sucralose in it. Why? No idea. The first ingredient is still sugar. If you aren't bothered by or can't taste sucralose AND you like Pepsi, this will be just fine for you. But for those of us that can taste it and don't like it, you'll be disappointed after you swallow it."
Gunnar Vogtmann,1-Oct-23,4,Am pleased with the flavor. Making it from scratch allows us to make it more bubbly and with a pinch more syrup more potent than bottled or canned Diet Pepsi. Has the same taste as store bought as well. The use by date is a year away. 4 Stars.
Catherine Bennett,6-Feb-24,5,I am hooked and love having a crisp Pepsi whenever I want. Cant wait to try the Mtn. Dew next.
john hathaway,21-Feb-24,5,Great taste
K. Lu,28-Mar-24,3,"It tastes fine, but it is not traditional Pepsi."
Andy Gray,8-Jan-24,3,"Let me preface this by saying I love both SodaStream and Pepsi - but seperately. I say these and thought it was a perfect match for me.I mixed it just like I normally do the Cola flavor and it tastes a little bit like Pepsi. Certainly not a perfect match. but my issue is in more of the price. I don't think the aaditional cost between this and the normal Cola is warranted. It's not demonstrively that much better or worth it in my opinion.If you like the normal Cola flavor, stick with that. You won't be missing anything."
Jfrank,1-Feb-24,5,Used this to reduce my sugar. Taste excellent. Strength very good. a tablespoon with 16b oz of fuzzy water makes a nice afternoon drink
Alyson,1-Feb-24,5,Love this product for my soda stream. Saves time and is more eco friendly than single serve bottles or cans. Easy to have on reorder
Benjamin,31-Jan-24,5,Pepsi Zero mix is basically perfect. All the zero-cal Pepsi I want with none of the plastic or aluminum waste. Savin the planet and delicious Pepsi!
Brooke ,11-Feb-24,5,Tastes just like a fresh pepsi zero
Chris,26-May-23,4,"Unfortunately, the syrup has a diet aftertaste. Even then, it doesn’t taste like regular Starry. Using less syrup than what is recommended and the max level carbonation makes it more enjoyable. Hopefully I’ll get use to the flavor, otherwise I don’t plan on purchasing more of this flavor.*editI tried using the lowest (first line) measurement of the syrup, and the results were much better. It’s still not regular Starry and has a slight aftertaste from the artificial sweetener, but it’s enjoyable now. Try this, or even less syrup, if you are disappointed in the taste. I added a star back to the rating."
Russell S.,25-Jan-24,5,We're able to make our own soda as we need it. Eliminates having cans in the fridge taking up space.Tastes great.
Rush is a band,27-Jan-24,3,I find no real difference between the regular Pepsi syrup and the regular soda stream cola syrup. There’s artificial sweeteners to lower the calories but it affects the taste greatly.This is for others who might be curious about trying the “Pepsi“ labeled soda stream syrup. It’s not worth the extra dollar per bottle.
Mary Love,11-Apr-24,5,"I, personally, LOVE this product. It reminds me of Dr. Pepper to the 5th power or, for lack of a better term, ham glaze. It reminds me of brown sugar, cinnamon, nutmeg and ginger ale cooked to a concentrated form. Then, once it cooled, cold water was added and refrigerated. I really wish that the zero sugar product was available because it is extremely sweet. However, I simply add equal parts of water to it and it's just fine."
KMS,3-Mar-24,4,"When I bought and tried this product I really enjoyed the additional raspberry flavor. The only suggestions I would offer, and the two things that would make me consume it regularly, would be to reduce the sweeteners in it and increase the carbonation, please!"
Sherry,14-Apr-24,5,I will buy this until it’s not solid anymore. Has a slight raspberry flavor. Love it alone or with rum. A “spiced” flavorful rum and coke!
Jesskuh ,10-Apr-24,3,Not to my taste. I like trying new and different flavor combos but this wasn't for me.
Keith Minard,9-Mar-24,1,"If you’ve ever had coke from a fountain dispenser that is low on carbonation and the mix is set too high and it’s overly sweet, that is what this stuff tastes like. Awful. I guess this is just a way for them to resell flat over-sweetened stale coke. Drank one half of a can and threw the rest of the cans away. Not even worth the wasted storage space to keep the unused drinks. Add some mild carbonation to berry-flavored cough syrup like Vic’s Formula 44 and that’s what this tastes like. Yuck!"
"Alec A. Kim, MD",17-Apr-24,5,Coke is Coke!Decent price. No need to lug it from the supermarket.Fast shipment.
Judith,12-Apr-24,2,"I bought a 10 pack of this Coke Spiced for work. We all tried it for fun. Of course, since I was the one who paid for it, I was the one who didn't like it. I didn't despise it, but would not buy it again. Back to real Coke original for me. Five people thought it was good. One person absolutely loves it, and says she will be buying this for home from now on.It has a raspberry taste, which to me seems artificial, but others like it. To me, it's too sweet and doesn't have the sharp bite regular Coke has. It might appeal more to Pepsi drinkers who like cola sweeter than us devoted Coke drinkers."
Courtney Forbes,5-Mar-24,4,"It's worth a try once, but I don't know if I'll buy it again."
Donna Geil,8-Apr-24,5,I was shocked at the taste but then I started loving it!
NW,10-Mar-24,5,"I was skeptical after reading the mixed reviews, but thought I'd be adventurous and give it a try. Both my spouse and I ended up really enjoying it. The mix of raspberry plus spice gives this a unique and lively flavor. We'll very likely be buying this again."
Maryann,8-Mar-24,2,I WAS VERY MUCH LOOKING FORWARD TO THIS PRODUCT ALMOST TO THE POINT OF EXCITEMENT. OUR GROCERY STORES WHERE I'M LOCATED DO NOT CARRY THE SPICE COKE AS OF THIS WRITING SO I ORDERED FROM AMAZON. IT'S ALL A MATTER OF TASTE PREFERENCE IN EACH INDIVIDUAL BUT THIS WAS NOT FOR ME. ORIGINAL COKE IS MY MOST FAVORITE SODA---SO MUCH SO THAT IT'S THE ONLY SODA I PURCHASE. THE CARBONATION ON THE SPICE COKE SEEMED A BIT WEAK TO ME AND IT WAS A BIT TOO SWEET. YOU DEFINATELY TASTE THE RASPBERRY BUT THERE'S A SOMEWHAT AFTER TASTE I'M DON'T CARE FOR. THE PRICE OF $6.34 FROM THE SELLER IS A VERY GOOD PRICE. IT WAS DELIVERED VIA UPS IN 2 DAYS AS PROMISED BY AMAZON AND PACKAGED WELL
Todd G,2-Mar-24,5,Right size taste great or should I say amazing will buy again sooner than later
John,26-Feb-24,5,Has an identity now.
Yaniri,14-Apr-24,2,Was looking forward to these but it does taste like cherry medicine and the aftertaste is not good. Should’ve read the reviews.
Amil Dave,25-Mar-24,2,"Sadly, the raspberry flavor overshadows the spice. In fact, this should just be called ""Raspberry Coke""."
Chloeish,6-Mar-24,2,Maybe for a cocktail but not for sippin.
Kindle Customer,4-Apr-24,1,The took coke and added.....nasty smelling and tasting perfume. Gross 
Janice wasinger,15-Mar-24,1,I tasted and tossed it. Wasn’t worth the wait!
Rayne,29-Mar-24,1,It was awful.
"Case, from Space",2-Apr-24,4,"I don't drink a lot of soda, so I appreciate these smaller cans. The ""Spiced"" flavor seems like a mix of different fruity colas, which may appeal to some. I found it to be a little too syrupy for my taste. It might mix well with a hard liquor, but I haven't had the occasion to try that yet. I did find that it tasted better to me over ice."
Haley,10-Mar-24,3,"This flavor is pretty polarizing. I haven’t seen anything positive about it on social media, I go to the store and it’s always fully stocked, and the person who I let try it said it was “the worst thing I’ve ever tasted.” He’s probably exaggerating. I think some people taste a strong coughsyrup flavor that really turns them off of this. To me it’s a light cherry flavor with a little bit of spice and creaminess. It also kind of tastes flat in a way. I like it. I’m not crazy about it but it’s not the worst thing I’ve ever tasted by any means. Where I’m tempted to complain is about how much product you get for the price. I found that I might actually prefer these smaller cans as I can finish a drink while it’s still cold, but the price is way too expensive."
LunaFendi,8-Mar-24,3,"If you're a fan of Dr. Pepper, then you might enjoy Coca-Cola's Spiced flavor. It has a similar blend of flavors, with a slight hint of cinnamon and other spices. However, for me, it felt like I was just drinking a cheaper less carbonated version of Dr. Pepper. I was quite disappointed. It tasted more like cough medicine than anything else. However, the worst part was the aftertaste - it was reminiscent of prune juice and very unpleasant. I definitely did not enjoy the drink at all. The high sugar content was also a major drawback for me. Instead, I will stick to my preferred choice of infused water with my enchanter pitcher, which not only tastes better but is also better for my health. I am not a fan of overly sweet or artificial-tasting drinks. That's why I usually opt for water or lightly flavored beverages. However, when I do want to indulge, I prefer drinks that have natural ingredients and a more subtle taste. Unfortunately, this soda did not meet my standards."
keith howard,8-Apr-24,3,"When you drink it chilled, it tastes fine. But lukewarm it gives the strangest aftertaste like cough medicine."
Jake,19-Mar-24,3,"Cans were new and fresh but flavor of this is pretty unappealing... I think raspberry by itself would work well but the spiced part of it throws me off a bit just not a fan. I don't like sodas from certain Drs, so was not sure how I would like this, and it just didn't hit the mark. If you like sodas from Drs perhaps this is one to try.Seems to be rather polarizing, love it or hate it. I hated."
WhiskeyJack,7-Mar-24,4,"If you've ever got a fountain pop and had various flavor adders where one of them was raspberry, well this is that as it tastes like a coke fountain pop with a raspberry flavor shot. Coke flavor with a light but pronounced candy like fake raspberry flavor. It says spiced, but I just really taste that raspberry flavor shot. It tastes good to me and of the many selections of flavor shots, raspberry is one of them that I will select. Not for everybody but good enough for me."
Allblessed,12-Mar-24,4,"We are sugar conscious here and each mini can contains about 50 grams, including the added amount. That's a problem for us, so we drink them less often. Regarding the taste, I feel that they are very similar to the original.Many who find the original enjoyable may likely enjoy these as well."
Seamoss,12-Mar-24,4,"I wanted to like this, however the flavor profile to me is not enjoyable. I get a strong raspberry scent but less berry flavor. Taste was kind of medicinal. My 9 year old likes it though!"
Sleepy,10-Mar-24,4,"I haven't drunk coke in a while, so I took a poll on this new flavor. The consensus was that it's a good sweet flavor, kinda like cherry coke, and somewhat similar to Dr. Pepper. I usually don't like drinks with a cherry taste, since I associate them with medicine flavors, but this raspberry coke was sweet without that medicinal taste. I like that the cans are mini sized. It's helpful for portion control. There's enough in this can to satisfy without having to go overboard."
Pawsable,11-Mar-24,4,"So this wasn't bad, but it wasn't what I expected. I don't honestly know what I expected but it wasn't that. This was sweet, had an aftertaste that came on a little after finishing. I would drink it again but I won't go out of my way to get it. However I enjoyed it more than Cherry and Vanilla Coke."
Jasmine,9-Mar-24,4,"this is a very small can about only a sip each can, not a fan of the raseberry flavor as well"
CC,8-Mar-24,4,"I don't really drink coca-cola, but the spiced intrigued me. It doesn't have any spice to it though, and it kind of tastes like a dr pepper to me. I don't taste the raspberry flavor, but it is more sweet tasting to me than anything. This little can as 25g of sugar and corn syrup is the second ingredient after carbonated water. Not quite sure it is called spiced. The flavor isn't bad, but not what I was expecting. I was expecting something more exciting with a kick."
jellybean5922,7-Mar-24,4,This Coca-Cola Spiced is Nice!I like the raspberry and coke flavor of this!Great Value!
"Dinosaurs and Mermaids, mom of both",7-Mar-24,3,"Upon opening a nice cold of this Spiced Cola, I got a good whiff of the ""spice"". It has a unique taste. Not horrible, but just wasn't for me. Now my mom on the other hand, liked it."
Ryan Richard,10-Mar-24,5,"To start off, mine came VERY carbonated, way more than the bottles I get and even cans. The spiced flavor is actually raspberry with hints of cinnamon and I taste something very familiar to chai, so it's not actually like Mexican spices which is what I was thinking but like actual spices! I do agree it's like Dr Pepper with the raspberry flavor. I do think this gets the edge because it has a more clear flavor, it should honestly say raspberry spiced instead of just spiced because the berry is the main part of this coke.Yes, the sugar is high, 25g in a 7oz bottle, it's very carbonized, and it's still Coca-Cola, but if you're a fan of the berry flavored sodas, you're gonna love this, and a lot better than regular soda which I haven't been having recently due to the taste and having healthier drinks nearby, but as a treat once in a while with a meal this is great!"
Webb,7-Apr-24,5,"This is a great new twist on the classic coke. I love the little smaller cans. At 60 cents a can they are reasonably priced.The flavor is interesting. While they focus on the ""Spiced"" element, raspberry is really the dominant flavor.Overall, I'm very happy with the ""Coca-Cola Spiced 7.5oz 10pk""."
D. L.,20-Mar-24,5,The small cans of Coke are great because sometimes I do not want to drink too much sugar and the smaller amount of soda allows me to get my fix without going overboard. This flavor is not for everyone but personally I like it. I find that the flavor is a bit less intense in the smaller cans and doesn't really taste that much different from your regular coke.
C,13-Mar-24,5,"I'm not a big soda fan, but was intrigued by unique flavoring. The raspberry flavor blends with the cola flavor very well, without either one being overpowering. I'm not sure why they went with 'spiced' as the marketing ploy here as there isn't anything (to me) in raspberry that resembles spice, but that's just me. Overall, it's a good coke with underlying raspberry flavors."
Alyssa,9-Mar-24,5,"I did not have any idea what to expect from this, but this box of 10 tiny cans are good for a) trying to cut back your soda intake and b) mixers depending on what the vibe is you're going for. It doesn't taste much like the original flavor as one might expect, but the raspberry and spices do come through and aren't a bad mix at all."
Josue Martinez,22-Mar-24,5,"I really like these cans, they taste festive and delicious"
Honest Reviews,11-Mar-24,5,"I love this version of Coke, it’s spicy and tastes great by itself or used as a mixer. Coke in a can is the best and this new flavor is solid, I prefer original but it’s a good twist"
Rookie Malhotra,10-Mar-24,5,"This coca-cola is super awesome! Here is my list to sum it up!- Came well packed.- Great for many occasions.- Good size.- Very carbonated.- Balanced flavors.- Fruity.- Convenient.- Crisp.- Fresh.- Easy to store.- Good aroma.All in all, this coca-Cola is delicious and unique!"
Eletaronma,8-Mar-24,5,The Coca-Cola Spiced taste great.
J. F.,8-Mar-24,2,"This Coke was weird. Diet soda is my usual and to me this sugar version has calories but very low sweetness to make the calories worth it. The flavors are vague and the mouthfeel seems thinner than it should be. My partner tried it and suggested it would be good with rum, given the spice flavor."
reunited,9-Mar-24,1,"This tastes like a combination of watered down coke, and the contents of your gran's handbag. You know the smell of an old lady's purse? That's what this tastes like, but carbonated. This is the first coke product I've ever tried that I didn't love. As if the taste wasn't awful enough, it has a weird musky/perfume aftertaste with a hint of cigarette smoke.."
Bite Me,2-Mar-24,1,This Spiced coke tasted like cough medicine. It was god awful!
J. Bowshier,28-Feb-24,1,I almost vomited
BLAIRFILM@gmail ⭐⭐⭐⭐⭐,25-Mar-24,5,"From childhood through adult life and into the latter years (80 plus) there's just nothing that brings me a big smile than this incredible COCA COLA!I think I've tried many, many types of cola drinks over the years, not there's simply no treat better than my favorite thirst quencher for an entire lifetime!Great product and excellent flavor, freshness and very affordable price!I sure hope this helps!"
Shopping V,22-Mar-24,5,"While I prefer to drink either the glass bottled (with cane sugar) or canned version of Coke, as they just tastes slightly better and fresher to me, but I don’t mind drinking the plastic bottle of these “Coca-Cola Soda Soft Drink, 16.9 fl oz, 6 Pack,” once in a while, especially, for the price, which is very reasonable. I don’t always drink sodas, but when I do, I drink Coke as they’re not too sweet and not bland either. Coke also doesn’t tastes bitter to me either, compared to its competitor, Pepsi, which has this slightly bittery taste to them. I love a glass of Coke to go with certain dishes like Pizzas and hamburgers as they enhances the taste of pizza and hamburgers in my opinion. 😍I highly recommend these “Coca-Cola Soda Soft Drink, 16.9 fl oz, 6 Pack” to others, as these are very well-priced and tastes great and refreshing."
beth,15-Apr-24,5,It was a little spicy but it was good. Good with rum also.
Joey,15-Apr-24,5,"I always like buying the bottled over the cans because the flavor is better. At the time of purchase, the price for these was great (better than the store). The quality is the same as buying from the store."
SallyDue,8-Mar-24,5,"Coke is always good anytime you want a cold drink. The bottles fit easily into the refrigerator, and are easy to take along fishing or picnics too. They are great for back yard bar-b-q's. They do not break if dropped and are reusable. We like to freeze wateer in them to put in the coolers. And when they are laid on their sides and a strip cut off the back, the bottles can be used to grow small radishes too. When you have drunk the delicious coke, the bottles are useful in scout projects"
London154,24-Mar-24,4,"I usually don’t drink this brand, but decided to give it a try. The flavor was a little different than anything else, but nothing I would go out of my way to purchase."
Taylorglam55,4-Apr-24,5,"This coke variation is delightful. It has the bite of the Classic Coke with a berry essence and a gentle touch of spice on the back end. The spice is barely there but you can still taste it. I kept some in a thermos overnight with ice and it still had that strong Coke carbonation in the morning. I bought it for $3.98 because that was a great ""try me"" price but now it has gone up three dollars in price! All in all, I did enjoy the flavor better than the vanilla or cherry Coke but nothing beats the original recipe."
Amazon Customer,8-Apr-24,5,Great price. Delivered right to door. Never damaged. Fresh and taste great
CCReader,13-Apr-24,4,"I've never had a drink taste like this before. You can definitely taste there are spices in it and fruit, but it's different.I was hoping it would taste like Dr. Pepper. Nope, not in the slightest. It's worth a try."
Amazon Customer,9-Apr-24,5,"was surprised that -0- bottles had not leaked, each and every bottle had been ripped from the plastic holders, I have no idea how that could have happened--every one was separated."
